# v2 corrected-synth union dump
# design	verilog_axi
# n_union	151  n_kept	151  n_dropped	0
# betas	input=+0.226 output=-0.323 internal=-0.050 both=-0.047 (derived)
rank_synth_corr	rank_route	rank_delta	slack_synth_ns	beta_ns	slack_synth_corr_ns	slack_route_ns	port_cat	end_pin	async_endpoint	kept	in_synth_topk	in_route_topk	start	end	start_full	end_full
23	6	-17	0.0487	-0.3230	-0.2743	-0.3176	output_only		N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].r_arb_inst.grant_valid_reg	mI_axi_rready	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[7].r_arb_inst.grant_valid_reg$_SDFFE_PP0P_/Q	m00_axi_rready
24	13	-11	0.0560	-0.3230	-0.2670	-0.2459	output_only		N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].w_select_reg[J]	sI_axi_wready	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[6].w_select_reg[2]$_DFFE_PP_/Q	s06_axi_wready
25	25	0	-0.2169	-0.0500	-0.2669	-0.1667	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.s_axi_aready_reg	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.trans_count_reg[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[7].addr_inst.s_axi_aready_reg$_SDFF_PP0_/QN	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[7].addr_inst.trans_count_reg[4]$_SDFFE_PP0P_/D
26	7	-19	0.0567	-0.3230	-0.2663	-0.3073	output_only		N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].reg_inst.genblkJ.genblkK.m_axi_bready_reg	mI_axi_bready	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[6].reg_inst.genblk3.genblk1.m_axi_bready_reg$_SDFF_PP0_/Q	m03_axi_bready
27	27	0	-0.2146	-0.0500	-0.2646	-0.1618	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.thread_count_reg[J][K]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.thread_count_reg[J][K]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.thread_count_reg[1][2]$_SDFFE_PP0P_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.thread_count_reg[1][4]$_SDFFE_PP0P_/D
28	82	54	-0.2138	-0.0500	-0.2638	-0.0753	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.m_select_reg[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.thread_count_reg[J][K]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[0].addr_inst.m_select_reg[2]$_DFF_P_/Q	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[0].addr_inst.thread_count_reg[1][4]$_SDFFE_PP0P_/D
29	37	8	-0.4888	0.2260	-0.2628	-0.1441	input_only	D	N	Y	Y	Y	sI_axi_arid[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.thread_count_reg[J][K]	s05_axi_arid[5]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.thread_count_reg[1][4]$_SDFFE_PP0P_/D
30	4	-26	0.0614	-0.3230	-0.2616	-0.3335	output_only		N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].b_arb_inst.grant_encoded_reg[J]	mI_axi_bready	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[5].b_arb_inst.grant_encoded_reg[1]$_SDFFE_PP0P_/Q	m03_axi_bready
31	17	-14	-0.2100	-0.0500	-0.2600	-0.2112	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].b_arb_inst.grant_encoded_reg[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.trans_count_reg[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[3].b_arb_inst.grant_encoded_reg[1]$_SDFFE_PP0P_/Q	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[3].addr_inst.trans_count_reg[4]$_SDFFE_PP0P_/D
32	54	22	-0.4814	0.2260	-0.2554	-0.1176	input_only	D	N	Y	Y	Y	sI_axi_arvalid	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.thread_count_reg[J][K]	s05_axi_arvalid	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.thread_count_reg[1][4]$_SDFFE_PP0P_/D
33	105	72	-0.2045	-0.0500	-0.2545	-0.0416	internal	D	N	Y	Y	N	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.m_select_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.trans_count_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.m_select_reg[0]$_DFF_P_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.trans_count_reg[4]$_SDFFE_PP0P_/D
34	8	-26	0.0726	-0.3230	-0.2504	-0.3010	output_only		N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].b_arb_inst.grant_valid_reg	mI_axi_bready	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[6].b_arb_inst.grant_valid_reg$_SDFFE_PP0P_/Q	m03_axi_bready
35	21	-14	-0.4759	0.2260	-0.2499	-0.1823	input_only	D	N	Y	Y	Y	mI_axi_rid[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.thread_count_reg[J][K]	m05_axi_rid[1]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[2].addr_inst.thread_count_reg[1][4]$_SDFFE_PP0P_/D
36	36	0	-0.1968	-0.0500	-0.2468	-0.1464	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.state_reg[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.trans_count_reg[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[7].addr_inst.state_reg[0]$_SDFF_PP0_/Q	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[7].addr_inst.trans_count_reg[4]$_SDFFE_PP0P_/D
37	91	54	-0.4727	0.2260	-0.2467	-0.0704	input_only	D	N	Y	Y	Y	sI_axi_awid[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.thread_count_reg[J][K]	s00_axi_awid[3]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[0].addr_inst.thread_count_reg[1][4]$_SDFFE_PP0P_/D
38	38	0	-0.1943	-0.0500	-0.2443	-0.1440	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.thread_count_reg[J][K]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.thread_count_reg[J][K]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[0].addr_inst.thread_count_reg[1][1]$_SDFFE_PP0P_/Q	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[0].addr_inst.thread_count_reg[1][4]$_SDFFE_PP0P_/D
