# v2 corrected-synth union dump
# design	verilog_axi
# n_union	151  n_kept	151  n_dropped	0
# betas	input=+0.226 output=-0.323 internal=-0.050 both=-0.047 (derived)
rank_synth_corr	rank_route	rank_delta	slack_synth_ns	beta_ns	slack_synth_corr_ns	slack_route_ns	port_cat	end_pin	async_endpoint	kept	in_synth_topk	in_route_topk	start	end	start_full	end_full
107	79	-28	0.0528	-0.0500	0.0028	-0.0772	internal	D	N	Y	N	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].r_arb_inst.grant_encoded_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[I].a_arb_inst.grant_encoded_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[6].r_arb_inst.grant_encoded_reg[2]$_SDFFE_PP0P_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[3].a_arb_inst.grant_encoded_reg[1]$_SDFFE_PP0P_/D
108	44	-64	0.0543	-0.0500	0.0043	-0.1351	internal	D	N	Y	N	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].r_arb_inst.grant_encoded_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].r_arb_inst.grant_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[1].r_arb_inst.grant_encoded_reg[2]$_SDFFE_PP0P_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[1].r_arb_inst.grant_reg[7]$_SDFFE_PP0P_/D
109	100	-9	0.0559	-0.0500	0.0059	-0.0621	internal	D	N	Y	N	Y	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].b_arb_inst.grant_valid_reg	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[I].a_arb_inst.grant_reg[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[6].b_arb_inst.grant_valid_reg$_SDFFE_PP0P_/Q	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[3].a_arb_inst.grant_reg[2]$_SDFFE_PP0P_/D
110	120	10	-0.2195	0.2260	0.0065	0.0156	input_only	D	N	Y	N	N	sI_axi_araddr[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.m_rc_valid_reg	s07_axi_araddr[30]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[7].addr_inst.m_rc_valid_reg$_SDFF_PP0_/D
111	43	-68	0.0583	-0.0500	0.0083	-0.1363	internal	D	N	Y	N	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].r_arb_inst.grant_encoded_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].reg_inst.genblkJ.temp_s_axi_rdata_reg[K]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[1].r_arb_inst.grant_encoded_reg[1]$_SDFFE_PP0P_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[1].reg_inst.genblk2.temp_s_axi_rdata_reg[11]$_DFFE_PP_/D
112	40	-72	0.0609	-0.0500	0.0109	-0.1412	internal	D	N	Y	N	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].r_arb_inst.grant_encoded_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].r_arb_inst.grant_encoded_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[1].r_arb_inst.grant_encoded_reg[2]$_SDFFE_PP0P_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[1].r_arb_inst.grant_encoded_reg[0]$_SDFFE_PP0P_/D
113	139	26	-0.2135	0.2260	0.0125	0.0782	input_only	D	N	Y	N	N	sI_axi_awaddr[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.m_wc_valid_reg	s07_axi_awaddr[31]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[7].addr_inst.m_wc_valid_reg$_SDFF_PP0_/D
114	71	-43	0.0668	-0.0500	0.0168	-0.0843	internal	D	N	Y	N	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].r_arb_inst.grant_encoded_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.m_axi_avalid_reg	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[1].r_arb_inst.grant_encoded_reg[2]$_SDFFE_PP0P_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[1].addr_inst.m_axi_avalid_reg$_SDFF_PP0_/D
115	83	-32	0.0676	-0.0500	0.0176	-0.0745	internal	D	N	Y	N	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].r_arb_inst.grant_encoded_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].reg_inst.genblkJ.s_axi_rresp_reg[K]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[1].r_arb_inst.grant_encoded_reg[1]$_SDFFE_PP0P_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[1].reg_inst.genblk2.s_axi_rresp_reg[1]$_DFFE_PP_/D
116	77	-39	0.0679	-0.0500	0.0179	-0.0794	internal	D	N	Y	N	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].r_arb_inst.grant_valid_reg	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[I].a_arb_inst.grant_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].r_arb_inst.grant_valid_reg$_SDFFE_PP0P_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[4].a_arb_inst.grant_reg[5]$_SDFFE_PP0P_/D
117	127	10	-0.2073	0.2260	0.0187	0.0372	input_only	D	N	Y	N	N	mI_axi_rid[J]	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[I].trans_count_reg[J]	m05_axi_rid[8]	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[5].trans_count_reg[2]$_SDFFE_PP0P_/D
118	72	-46	0.0711	-0.0500	0.0211	-0.0841	internal	D	N	Y	N	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].r_arb_inst.grant_encoded_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].r_arb_inst.grant_valid_reg	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[6].r_arb_inst.grant_encoded_reg[1]$_SDFFE_PP0P_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[6].r_arb_inst.grant_valid_reg$_SDFFE_PP0P_/D
119	98	-21	0.0733	-0.0500	0.0233	-0.0642	internal	D	N	Y	N	Y	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].b_arb_inst.grant_encoded_reg[J]	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[I].a_arb_inst.grant_encoded_reg[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[7].b_arb_inst.grant_encoded_reg[2]$_SDFFE_PP0P_/Q	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[3].a_arb_inst.grant_encoded_reg[0]$_SDFFE_PP0P_/D
120	86	-34	0.0758	-0.0500	0.0258	-0.0725	internal	D	N	Y	N	Y	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[I].w_select_reg[J]	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[I].reg_inst.genblkJ.m_axi_wdata_reg[K]	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[2].w_select_reg[1]$_DFFE_PP_/Q	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[2].reg_inst.genblk2.m_axi_wdata_reg[8]$_DFFE_PP_/D
121	145	24	-0.1990	0.2260	0.0270	0.0978	input_only	D	N	Y	N	N	sI_axi_awaddr[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.state_reg[J]	s07_axi_awaddr[31]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[7].addr_inst.state_reg[0]$_SDFF_PP0_/D
122	46	-76	0.0783	-0.0500	0.0283	-0.1270	internal	D	N	Y	N	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].r_arb_inst.grant_encoded_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].reg_inst.genblkJ.s_axi_rdata_reg[K]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[6].r_arb_inst.grant_encoded_reg[1]$_SDFFE_PP0P_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[6].reg_inst.genblk2.s_axi_rdata_reg[9]$_DFFE_PP_/D
123	142	19	-0.1975	0.2260	0.0285	0.0839	input_only	D	N	Y	N	N	sI_axi_awid[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.thread_id_reg[J][K]	s00_axi_awid[3]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[0].addr_inst.thread_id_reg[0][0]$_DFFE_PP_/D
124	141	17	-0.1975	0.2260	0.0285	0.0836	input_only	D	N	Y	N	N	sI_axi_awid[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.thread_m_reg[J][K]	s00_axi_awid[3]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[0].addr_inst.thread_m_reg[0][0]$_DFFE_PP_/D
125	34	-91	0.0886	-0.0500	0.0386	-0.1517	internal	D	N	Y	N	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].r_arb_inst.grant_encoded_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.m_rc_valid_reg	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[2].r_arb_inst.grant_encoded_reg[2]$_SDFFE_PP0P_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[2].addr_inst.m_rc_valid_reg$_SDFF_PP0_/D
126	113	-13	-0.1846	0.2260	0.0414	0.0076	input_only	D	N	Y	N	N	sI_axi_arvalid	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.thread_id_reg[J][K]	s06_axi_arvalid	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[6].addr_inst.thread_id_reg[0][0]$_DFFE_PP_/D
127	118	-9	-0.1846	0.2260	0.0414	0.0146	input_only	D	N	Y	N	N	sI_axi_arvalid	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.thread_m_reg[J][K]	s06_axi_arvalid	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[6].addr_inst.thread_m_reg[0][0]$_DFFE_PP_/D
128	135	7	-0.1792	0.2260	0.0468	0.0743	input_only	D	N	Y	N	N	sI_axi_arid[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.state_reg[J]	s05_axi_arid[5]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.state_reg[0]$_SDFF_PP0_/D
129	114	-15	-0.1769	0.2260	0.0491	0.0077	input_only	D	N	Y	N	N	sI_axi_arid[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.thread_id_reg[J][K]	s05_axi_arid[5]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.thread_id_reg[0][0]$_DFFE_PP_/D
130	119	-11	-0.1769	0.2260	0.0491	0.0146	input_only	D	N	Y	N	N	sI_axi_arid[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.thread_m_reg[J][K]	s05_axi_arid[5]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.thread_m_reg[0][0]$_DFFE_PP_/D
131	140	9	-0.1760	0.2260	0.0500	0.0831	input_only	D	N	Y	N	N	sI_axi_awvalid	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.thread_id_reg[J][K]	s00_axi_awvalid	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[0].addr_inst.thread_id_reg[1][0]$_DFFE_PP_/D
132	143	11	-0.1760	0.2260	0.0500	0.0871	input_only	D	N	Y	N	N	sI_axi_awvalid	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.thread_m_reg[J][K]	s00_axi_awvalid	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[0].addr_inst.thread_m_reg[1][0]$_DFFE_PP_/D
133	149	16	-0.1718	0.2260	0.0542	0.1091	input_only	D	N	Y	N	N	sI_axi_arvalid	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.state_reg[J]	s05_axi_arvalid	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.state_reg[0]$_SDFF_PP0_/D
134	146	12	-0.1706	0.2260	0.0554	0.0985	input_only	D	N	Y	N	N	mI_axi_rvalid	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[I].a_arb_inst.mask_reg[J]	m05_axi_rvalid	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[5].a_arb_inst.mask_reg[0]$_SDFFE_PP0P_/D
135	122	-13	-0.1691	0.2260	0.0569	0.0203	input_only	D	N	Y	N	N	mI_axi_rlast	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.thread_id_reg[J][K]	m04_axi_rlast	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[4].addr_inst.thread_id_reg[0][0]$_DFFE_PP_/D
136	125	-11	-0.1691	0.2260	0.0569	0.0249	input_only	D	N	Y	N	N	mI_axi_rlast	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.thread_m_reg[J][K]	m04_axi_rlast	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[4].addr_inst.thread_m_reg[0][0]$_DFFE_PP_/D
137	130	-7	-0.1639	0.2260	0.0621	0.0531	input_only	D	N	Y	N	N	mI_axi_bid[J]	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[I].trans_count_reg[J]	m06_axi_bid[9]	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[6].trans_count_reg[2]$_SDFFE_PP0P_/D
138	147	9	-0.1568	0.2260	0.0692	0.1004	input_only	D	N	Y	N	N	sI_axi_arid[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.m_axi_avalid_reg	s05_axi_arid[5]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.m_axi_avalid_reg$_SDFF_PP0_/D
139	148	9	-0.1532	0.2260	0.0728	0.1047	input_only	D	N	Y	N	N	mI_axi_bid[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].b_arb_inst.grant_reg[J]	m05_axi_bid[8]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[3].b_arb_inst.grant_reg[0]$_SDFFE_PP0P_/D
140	132	-8	-0.1504	0.2260	0.0756	0.0591	input_only	D	N	Y	N	N	mI_axi_bvalid	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[I].a_arb_inst.mask_reg[J]	m02_axi_bvalid	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[2].a_arb_inst.mask_reg[4]$_SDFFE_PP0P_/D
141	134	-7	-0.1494	0.2260	0.0766	0.0705	input_only	D	N	Y	N	N	sI_axi_arvalid	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.m_axi_avalid_reg	s05_axi_arvalid	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.m_axi_avalid_reg$_SDFF_PP0_/D
142	137	-5	-0.1484	0.2260	0.0776	0.0767	input_only	D	N	Y	N	N	mI_axi_rid[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].r_arb_inst.grant_reg[J]	m02_axi_rid[9]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[3].r_arb_inst.grant_reg[3]$_SDFFE_PP0P_/D
143	138	-5	-0.1479	0.2260	0.0781	0.0767	input_only	D	N	Y	N	N	mI_axi_rid[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].r_arb_inst.grant_encoded_reg[J]	m02_axi_rid[9]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[6].r_arb_inst.grant_encoded_reg[1]$_SDFFE_PP0P_/D
144	115	-29	-0.1459	0.2260	0.0801	0.0088	input_only	D	N	Y	N	N	mI_axi_rvalid	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].r_arb_inst.grant_reg[J]	m03_axi_rvalid	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[3].r_arb_inst.grant_reg[3]$_SDFFE_PP0P_/D
145	112	-33	-0.1448	0.2260	0.0812	0.0060	input_only	D	N	Y	N	N	mI_axi_rvalid	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.thread_id_reg[J][K]	m00_axi_rvalid	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[4].addr_inst.thread_id_reg[0][0]$_DFFE_PP_/D
146	117	-29	-0.1448	0.2260	0.0812	0.0106	input_only	D	N	Y	N	N	mI_axi_rvalid	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.thread_m_reg[J][K]	m00_axi_rvalid	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[4].addr_inst.thread_m_reg[0][0]$_DFFE_PP_/D
147	116	-31	-0.1446	0.2260	0.0814	0.0089	input_only	D	N	Y	N	N	mI_axi_rvalid	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].r_arb_inst.grant_encoded_reg[J]	m02_axi_rvalid	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[6].r_arb_inst.grant_encoded_reg[1]$_SDFFE_PP0P_/D
148	150	2	-0.1445	0.2260	0.0815	0.1577	input_only	D	N	Y	N	N	sI_axi_awid[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.m_rc_valid_reg	s00_axi_awid[3]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[0].addr_inst.m_rc_valid_reg$_SDFF_PP0_/D
149	126	-23	-0.1402	0.2260	0.0858	0.0257	input_only	D	N	Y	N	N	mI_axi_rid[J]	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[I].a_arb_inst.grant_reg[J]	m02_axi_rid[9]	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[2].a_arb_inst.grant_reg[4]$_SDFFE_PP0P_/D
150	106	-44	-0.1358	0.2260	0.0902	-0.0231	input_only	D	N	Y	N	N	mI_axi_bvalid	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].b_arb_inst.grant_reg[J]	m07_axi_bvalid	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[1].b_arb_inst.grant_reg[0]$_SDFFE_PP0P_/D
151	151	0	-0.1328	0.2260	0.0932	0.1781	input_only	D	N	Y	N	N	sI_axi_awid[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.m_wc_valid_reg	s00_axi_awid[3]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[0].addr_inst.m_wc_valid_reg$_SDFF_PP0_/D
