design,stage,p,n_seeds,n_pairs,top_k,min_list_len,max_list_len,mean_rbo,std_rbo,min_rbo,max_rbo,mean_dedup_drops,max_dedup_drops
double_fpu,6_final,0.96,8,28,100,100,100,0.7933673561730686,0.05121981228803279,0.6980972815755827,0.8846623543534065,15.875,20
e203,1_synth,0.6,8,28,100,100,100,0.9999967932325984,2.0192094124775948e-06,0.9999945204814769,0.9999996752727349,2.125,3
e203,1_synth,0.9,8,28,100,100,100,0.9914455885099898,0.0018337819077673062,0.9885028123252646,0.9956811591010036,2.125,3
e203,1_synth,0.96,8,28,100,100,100,0.9627128577988844,0.006538502013694182,0.9486242406492403,0.973950442308063,2.125,3
e203,6_final,0.6,8,28,100,100,100,0.4946644606237287,0.27022359134203017,0.22162047009614644,0.988434080420396,2.5,8
e203,6_final,0.9,8,28,100,100,100,0.6825230603546554,0.09355438158977325,0.5461966746418124,0.8388699596481609,2.5,8
e203,6_final,0.96,8,28,100,100,100,0.6863804713782969,0.055267996565529484,0.5837697902427015,0.8007622772429046,2.5,8
jpeg_encoder,1_synth,0.6,8,28,100,100,100,0.9285209897185516,0.06006616112263086,0.8759286753681892,0.9985998523552759,653.75,655
jpeg_encoder,1_synth,0.9,8,28,100,100,100,0.9497804842106043,0.023254528261570998,0.9229087228995451,0.9848571530137626,653.75,655
jpeg_encoder,1_synth,0.96,8,28,100,100,100,0.9282123801794596,0.016663645838075503,0.9025116275514541,0.9636982768486154,653.75,655
jpeg_encoder,6_final,0.6,8,28,100,100,100,0.6884057636417703,0.0805413429870119,0.6134851814758078,0.898210148128066,652.125,657
jpeg_encoder,6_final,0.9,8,28,100,100,100,0.6536775137950259,0.10680216392900162,0.5036964828875569,0.8237695154798668,652.125,657
jpeg_encoder,6_final,0.96,8,28,100,100,100,0.7758731534245473,0.06351097757374025,0.6783676055362211,0.8775431220731348,652.125,657
reed_solomon,1_synth,0.6,8,28,100,100,100,0.6762779177478101,0.2035392106324131,0.4461783358537518,0.9805168571562111,670.25,732
reed_solomon,1_synth,0.9,8,28,100,100,100,0.6688162690621652,0.07406723472092244,0.5451207510097381,0.8208624438342952,670.25,732
reed_solomon,1_synth,0.96,8,28,100,100,100,0.680627638385553,0.05086829231955321,0.6056911814795763,0.7912205133848755,670.25,732
reed_solomon,6_final,0.6,8,28,100,100,100,0.7038075082393888,0.20931470439152725,0.4387941074437953,0.9647465673100326,742.25,854
reed_solomon,6_final,0.9,8,28,100,100,100,0.6392497897593604,0.08353560929834634,0.4936420280273001,0.8030534975142234,742.25,854
reed_solomon,6_final,0.96,8,28,100,100,100,0.6229916084002263,0.06526750128451013,0.4970844203018222,0.7467571905029403,742.25,854
