iter_id,design,port_class,n,median_delta_ns
2026-06-05_11-31-11__secworks__sha512__reference_epoch_1__iter_2,sha512,output_only,9,-0.31976
2026-06-05_11-31-11__secworks__sha512__reference_epoch_1__iter_3,sha512,both,6,-0.0707245
2026-06-05_11-31-11__secworks__sha512__reference_epoch_1__iter_3,sha512,input_only,24,0.22385199999999994
2026-06-05_11-31-11__secworks__sha512__reference_epoch_1__iter_3,sha512,internal,169,-0.15211200000000002
2026-06-05_11-31-11__secworks__sha512__reference_epoch_1__iter_3,sha512,output_only,9,-0.401404
2026-06-05_11-31-11__secworks__sha512__reference_epoch_1__iter_4,sha512,both,6,-0.05495800000000001
2026-06-05_11-31-11__secworks__sha512__reference_epoch_1__iter_4,sha512,input_only,24,0.17912999999999996
2026-06-05_11-31-11__secworks__sha512__reference_epoch_1__iter_4,sha512,internal,177,-0.1568440000000001
2026-06-05_11-31-11__secworks__sha512__reference_epoch_1__iter_4,sha512,output_only,9,-0.339259
2026-06-05_11-31-11__secworks__sha512__reference_epoch_2__iter_1,sha512,both,6,-0.0903805
2026-06-05_11-31-11__secworks__sha512__reference_epoch_2__iter_1,sha512,input_only,24,0.1740155000000001
2026-06-05_11-31-11__secworks__sha512__reference_epoch_2__iter_1,sha512,internal,173,-0.18978300000000004
2026-06-05_11-31-11__secworks__sha512__reference_epoch_2__iter_1,sha512,output_only,9,-0.361768
2026-06-05_11-31-11__secworks__sha512__reference_epoch_2__iter_2,sha512,both,6,-0.069441
2026-06-05_11-31-11__secworks__sha512__reference_epoch_2__iter_2,sha512,input_only,24,0.17008600000000001
2026-06-05_11-31-11__secworks__sha512__reference_epoch_2__iter_2,sha512,internal,175,-0.157945
2026-06-05_11-31-11__secworks__sha512__reference_epoch_2__iter_2,sha512,output_only,9,-0.345204
2026-06-05_11-31-11__secworks__sha512__reference_epoch_2__iter_3,sha512,both,6,-0.0552735
2026-06-05_11-31-11__secworks__sha512__reference_epoch_2__iter_3,sha512,input_only,24,0.18044149999999992
2026-06-05_11-31-11__secworks__sha512__reference_epoch_2__iter_3,sha512,internal,183,-0.1512
2026-06-05_11-31-11__secworks__sha512__reference_epoch_2__iter_3,sha512,output_only,9,-0.36018600000000006
2026-06-05_11-31-11__secworks__sha512__reference_epoch_2__iter_4,sha512,both,6,-0.0531775
2026-06-05_11-31-11__secworks__sha512__reference_epoch_2__iter_4,sha512,input_only,24,0.19730350000000008
2026-06-05_11-31-11__secworks__sha512__reference_epoch_2__iter_4,sha512,internal,183,-0.192922
2026-06-05_11-31-11__secworks__sha512__reference_epoch_2__iter_4,sha512,output_only,9,-0.37232299999999996
2026-06-05_11-31-11__secworks__sha512__reference_epoch_3__iter_1,sha512,both,6,-0.057434
2026-06-05_11-31-11__secworks__sha512__reference_epoch_3__iter_1,sha512,input_only,25,0.207689
2026-06-05_11-31-11__secworks__sha512__reference_epoch_3__iter_1,sha512,internal,175,-0.17381500000000005
2026-06-05_11-31-11__secworks__sha512__reference_epoch_3__iter_1,sha512,output_only,9,-0.34431899999999993
2026-06-05_11-31-11__secworks__sha512__reference_epoch_3__iter_2,sha512,both,6,-0.06676850000000001
2026-06-05_11-31-11__secworks__sha512__reference_epoch_3__iter_2,sha512,input_only,26,0.25844949999999994
2026-06-05_11-31-11__secworks__sha512__reference_epoch_3__iter_2,sha512,internal,183,-0.14510999999999996
2026-06-05_11-31-11__secworks__sha512__reference_epoch_3__iter_2,sha512,output_only,9,-0.34785900000000003
2026-06-05_11-31-11__secworks__sha512__reference_epoch_3__iter_3,sha512,both,6,-0.06571999999999999
2026-06-05_11-31-11__secworks__sha512__reference_epoch_3__iter_3,sha512,input_only,26,0.21125850000000002
2026-06-05_11-31-11__secworks__sha512__reference_epoch_3__iter_3,sha512,internal,183,-0.16795900000000008
2026-06-05_11-31-11__secworks__sha512__reference_epoch_3__iter_3,sha512,output_only,9,-0.377279
2026-06-05_11-31-11__secworks__sha512__reference_epoch_3__iter_4,sha512,both,6,-0.0566095
2026-06-05_11-31-11__secworks__sha512__reference_epoch_3__iter_4,sha512,input_only,26,0.1953585
2026-06-05_11-31-11__secworks__sha512__reference_epoch_3__iter_4,sha512,internal,183,-0.21197699999999997
2026-06-05_11-31-11__secworks__sha512__reference_epoch_3__iter_4,sha512,output_only,9,-0.361656
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_1__iter_1,uberddr3,input_only,50,0.2301935
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_1__iter_1,uberddr3,internal,904,-0.04648400000000001
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_1__iter_1,uberddr3,output_only,46,-0.34054249999999997
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_1__iter_2,uberddr3,input_only,52,0.227372
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_1__iter_2,uberddr3,internal,901,-0.02756200000000003
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_1__iter_2,uberddr3,output_only,47,-0.336937
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_1__iter_3,uberddr3,input_only,52,0.24129599999999995
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_1__iter_3,uberddr3,internal,901,-0.03717200000000001
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_1__iter_3,uberddr3,output_only,47,-0.342201
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_1__iter_4,uberddr3,input_only,51,0.232942
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_1__iter_4,uberddr3,internal,903,-0.023984000000000005
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_1__iter_4,uberddr3,output_only,46,-0.33429200000000003
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_2__iter_1,uberddr3,input_only,56,0.245698
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_2__iter_1,uberddr3,internal,900,-0.03543749999999997
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_2__iter_1,uberddr3,output_only,44,-0.33989650000000005
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_2__iter_2,uberddr3,input_only,51,0.22572399999999998
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_2__iter_2,uberddr3,internal,903,-0.03832
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_2__iter_2,uberddr3,output_only,46,-0.320175
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_2__iter_3,uberddr3,input_only,50,0.2356645
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_2__iter_3,uberddr3,internal,904,-0.030670999999999997
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_2__iter_3,uberddr3,output_only,46,-0.329009
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_2__iter_4,uberddr3,input_only,50,0.240419
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_2__iter_4,uberddr3,internal,904,-0.03666950000000002
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_2__iter_4,uberddr3,output_only,46,-0.334243
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_3__iter_1,uberddr3,input_only,52,0.2372425
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_3__iter_1,uberddr3,internal,903,-0.03214799999999998
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_3__iter_1,uberddr3,output_only,45,-0.32595399999999997
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_3__iter_2,uberddr3,input_only,51,0.22619800000000007
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_3__iter_2,uberddr3,internal,904,-0.03452600000000001
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_3__iter_2,uberddr3,output_only,45,-0.332318
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_3__iter_3,uberddr3,input_only,51,0.212302
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_3__iter_3,uberddr3,internal,903,-0.030516000000000015
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_3__iter_3,uberddr3,output_only,46,-0.315207
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_3__iter_4,uberddr3,input_only,50,0.24008700000000002
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_3__iter_4,uberddr3,internal,905,-0.033927999999999986
2026-06-05_15-36-58__angelo-jacobo__uberddr3__reference_epoch_3__iter_4,uberddr3,output_only,45,-0.337459
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_1__iter_1,verilog_axi,both,2,-0.07392099999999999
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_1__iter_1,verilog_axi,input_only,262,0.230499
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_1__iter_1,verilog_axi,internal,691,-0.05697899999999999
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_1__iter_1,verilog_axi,output_only,45,-0.347551
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_1__iter_2,verilog_axi,both,2,-0.085061
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_1__iter_2,verilog_axi,input_only,232,0.233223
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_1__iter_2,verilog_axi,internal,686,-0.06491349999999999
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_1__iter_2,verilog_axi,output_only,45,-0.345424
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_1__iter_3,verilog_axi,both,2,-0.075318
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_1__iter_3,verilog_axi,input_only,214,0.23935900000000002
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_1__iter_3,verilog_axi,internal,648,-0.0466925
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_1__iter_3,verilog_axi,output_only,45,-0.359163
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_1__iter_4,verilog_axi,both,2,-0.08582550000000001
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_1__iter_4,verilog_axi,input_only,202,0.2453875
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_1__iter_4,verilog_axi,internal,666,-0.052557000000000006
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_1__iter_4,verilog_axi,output_only,45,-0.352922
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_2__iter_1,verilog_axi,both,2,-0.090431
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_2__iter_1,verilog_axi,input_only,232,0.238245
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_2__iter_1,verilog_axi,internal,676,-0.060908499999999983
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_2__iter_1,verilog_axi,output_only,45,-0.355545
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_2__iter_2,verilog_axi,both,2,-0.088639
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_2__iter_2,verilog_axi,input_only,213,0.232535
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_2__iter_2,verilog_axi,internal,637,-0.05724700000000005
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_2__iter_2,verilog_axi,output_only,45,-0.34646
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_2__iter_3,verilog_axi,both,2,-0.050512
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_2__iter_3,verilog_axi,input_only,202,0.2351245
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_2__iter_3,verilog_axi,internal,658,-0.0492425
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_2__iter_3,verilog_axi,output_only,45,-0.360118
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_2__iter_4,verilog_axi,both,2,-0.07786600000000002
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_2__iter_4,verilog_axi,input_only,202,0.2376845
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_2__iter_4,verilog_axi,internal,662,-0.0515765
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_2__iter_4,verilog_axi,output_only,45,-0.36268100000000003
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_3__iter_1,verilog_axi,both,2,-0.09435950000000001
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_3__iter_1,verilog_axi,input_only,232,0.22700149999999997
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_3__iter_1,verilog_axi,internal,672,-0.06887099999999999
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_3__iter_1,verilog_axi,output_only,45,-0.354183
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_3__iter_2,verilog_axi,both,2,-0.0735305
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_3__iter_2,verilog_axi,input_only,213,0.238038
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_3__iter_2,verilog_axi,internal,641,-0.06570500000000001
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_3__iter_2,verilog_axi,output_only,45,-0.34827199999999997
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_3__iter_3,verilog_axi,both,2,-0.060425
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_3__iter_3,verilog_axi,input_only,202,0.23445699999999997
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_3__iter_3,verilog_axi,internal,658,-0.05404599999999999
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_3__iter_3,verilog_axi,output_only,45,-0.34546299999999996
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_3__iter_4,verilog_axi,both,2,-0.060425
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_3__iter_4,verilog_axi,input_only,202,0.23445699999999997
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_3__iter_4,verilog_axi,internal,658,-0.05404599999999999
2026-06-05_15-36-58__forencich__verilog_axi__reference_epoch_3__iter_4,verilog_axi,output_only,45,-0.34546299999999996
