# slack_ns	startpoint	endpoint	cells
0.570415	rst	qnr.dep[6]$_DFFE_PN0P_/RN	hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11242|qnr.dep[6]$_DFFE_PN0P_
0.570967	rst	qnr.qnt_cnt[3]$_DFFE_PN0P_/RN	hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11242|qnr.qnt_cnt[3]$_DFFE_PN0P_
0.571183	rst	qnr.dep[0]$_DFFE_PN0P_/RN	hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11242|qnr.dep[0]$_DFFE_PN0P_
0.571446	rst	qnr.qnt_cnt[1]$_DFFE_PN0P_/RN	hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11242|qnr.qnt_cnt[1]$_DFFE_PN0P_
0.571509	rst	qnr.dep[1]$_DFFE_PN0P_/RN	hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11242|qnr.dep[1]$_DFFE_PN0P_
0.571773	rst	qnr.qnt_cnt[2]$_DFFE_PN0P_/RN	hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11242|qnr.qnt_cnt[2]$_DFFE_PN0P_
0.572368	rst	qnr.qnt_cnt[4]$_DFFE_PN0P_/RN	hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11242|qnr.qnt_cnt[4]$_DFFE_PN0P_
0.572862	rst	qnr.qnt_cnt[5]$_DFFE_PN0P_/RN	hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11242|qnr.qnt_cnt[5]$_DFFE_PN0P_
0.572976	rst	fdct_zigzag.dct_mod.ddin[7]$_DFFE_PN0P_/RN	fdct_zigzag.dct_mod.ddin[7]$_DFFE_PN0P_|hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11240
0.573340	rst	qnr.dep[2]$_DFFE_PN0P_/RN	hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11242|qnr.dep[2]$_DFFE_PN0P_
0.575430	rst	qnr.dep[5]$_DFFE_PN0P_/RN	hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11242|qnr.dep[5]$_DFFE_PN0P_
0.575667	rst	qnr.dep[4]$_DFFE_PN0P_/RN	hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11242|qnr.dep[4]$_DFFE_PN0P_
0.576147	rst	fdct_zigzag.dct_mod.ddin[1]$_DFFE_PN0P_/RN	fdct_zigzag.dct_mod.ddin[1]$_DFFE_PN0P_|hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11240
0.576194	rst	qnr.dep[3]$_DFFE_PN0P_/RN	hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11242|qnr.dep[3]$_DFFE_PN0P_
0.578730	rst	fdct_zigzag.dct_mod.ddin[5]$_DFFE_PN0P_/RN	fdct_zigzag.dct_mod.ddin[5]$_DFFE_PN0P_|hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11240
0.579503	rst	fdct_zigzag.dct_mod.ddin[2]$_DFFE_PN0P_/RN	fdct_zigzag.dct_mod.ddin[2]$_DFFE_PN0P_|hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11240
0.580521	rst	fdct_zigzag.dct_mod.ddgo$_DFFE_PN0P_/RN	fdct_zigzag.dct_mod.ddgo$_DFFE_PN0P_|hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11242
-0.403601	fdct_zigzag.dct_mod.ddin[4]$_DFFE_PN0P_/Q	fdct_zigzag.dct_mod.dct_block_3.dct_unit_6.macu.mult_res[18]$_DFFE_PP_/D	_50535_|_61790_|_61801_|_74627_|_74628_|_74634_|_76907_|_76917_|_77958_|_80162_|_82509_|fdct_zigzag.dct_mod.dct_block_3.dct_unit_6.macu.mult_res[18]$_DFFE_PP_|fdct_zigzag.dct_mod.ddin[4]$_DFFE_PN0P_|place10512|place10515|place10522|place7505|rebuffer11911|rebuffer11912
-0.402878	fdct_zigzag.dct_mod.ddin[4]$_DFFE_PN0P_/Q	fdct_zigzag.dct_mod.dct_block_3.dct_unit_6.macu.mult_res[18]$_DFFE_PP_/D	_50535_|_61790_|_61801_|_74627_|_74628_|_74634_|_76907_|_76917_|_77958_|_80162_|_82509_|fdct_zigzag.dct_mod.dct_block_3.dct_unit_6.macu.mult_res[18]$_DFFE_PP_|fdct_zigzag.dct_mod.ddin[4]$_DFFE_PN0P_|place10512|place10515|place10522|place7505|rebuffer11911|rebuffer11912
-0.401269	fdct_zigzag.dct_mod.ddin[4]$_DFFE_PN0P_/Q	fdct_zigzag.dct_mod.dct_block_3.dct_unit_4.macu.mult_res[17]$_DFFE_PP_/D	_48507_|_62320_|_62321_|_62322_|_62324_|_62325_|_62328_|_62329_|_62333_|_77013_|_77049_|_77058_|_77068_|_80497_|fdct_zigzag.dct_mod.dct_block_3.dct_unit_4.macu.mult_res[17]$_DFFE_PP_|fdct_zigzag.dct_mod.ddin[4]$_DFFE_PN0P_|place10037|place10515|place10522
-0.400870	fdct_zigzag.dct_mod.ddin[4]$_DFFE_PN0P_/Q	fdct_zigzag.dct_mod.dct_block_3.dct_unit_6.macu.mult_res[18]$_DFFE_PP_/D	_50535_|_61790_|_61801_|_74627_|_74628_|_74634_|_76907_|_76917_|_77958_|_80162_|_82509_|fdct_zigzag.dct_mod.dct_block_3.dct_unit_6.macu.mult_res[18]$_DFFE_PP_|fdct_zigzag.dct_mod.ddin[4]$_DFFE_PN0P_|place10512|place10515|place10522|place7505|rebuffer11911|rebuffer11912
-0.400535	fdct_zigzag.dct_mod.ddin[4]$_DFFE_PN0P_/Q	fdct_zigzag.dct_mod.dct_block_3.dct_unit_6.macu.mult_res[18]$_DFFE_PP_/D	_50535_|_61790_|_61801_|_74627_|_74628_|_74634_|_76907_|_76917_|_77958_|_80162_|_82509_|fdct_zigzag.dct_mod.dct_block_3.dct_unit_6.macu.mult_res[18]$_DFFE_PP_|fdct_zigzag.dct_mod.ddin[4]$_DFFE_PN0P_|place10512|place10515|place10522|place7505|rebuffer11911|rebuffer11912
-0.400147	fdct_zigzag.dct_mod.ddin[4]$_DFFE_PN0P_/Q	fdct_zigzag.dct_mod.dct_block_3.dct_unit_6.macu.mult_res[18]$_DFFE_PP_/D	_50535_|_61790_|_61801_|_74627_|_74628_|_74634_|_76907_|_76917_|_77958_|_80162_|_82509_|fdct_zigzag.dct_mod.dct_block_3.dct_unit_6.macu.mult_res[18]$_DFFE_PP_|fdct_zigzag.dct_mod.ddin[4]$_DFFE_PN0P_|place10512|place10515|place10522|place7505|rebuffer11911|rebuffer11912
-0.400045	fdct_zigzag.dct_mod.ddin[4]$_DFFE_PN0P_/Q	fdct_zigzag.dct_mod.dct_block_3.dct_unit_6.macu.mult_res[18]$_DFFE_PP_/D	_50535_|_61790_|_61801_|_74627_|_74628_|_74634_|_76448_|_76903_|_76911_|_78531_|_83480_|fdct_zigzag.dct_mod.dct_block_3.dct_unit_6.macu.mult_res[18]$_DFFE_PP_|fdct_zigzag.dct_mod.ddin[4]$_DFFE_PN0P_|place10512|place10515|place10522|place8710|rebuffer11911|rebuffer11912
-0.399813	fdct_zigzag.dct_mod.ddin[4]$_DFFE_PN0P_/Q	fdct_zigzag.dct_mod.dct_block_3.dct_unit_6.macu.mult_res[18]$_DFFE_PP_/D	_50535_|_61790_|_61801_|_74627_|_74628_|_74634_|_76907_|_76917_|_77958_|_80162_|_82509_|fdct_zigzag.dct_mod.dct_block_3.dct_unit_6.macu.mult_res[18]$_DFFE_PP_|fdct_zigzag.dct_mod.ddin[4]$_DFFE_PN0P_|place10512|place10515|place10522|place7505|rebuffer11911|rebuffer11912
-0.399657	fdct_zigzag.dct_mod.ddin[4]$_DFFE_PN0P_/Q	fdct_zigzag.dct_mod.dct_block_3.dct_unit_2.macu.mult_res[18]$_DFFE_PP_/D	_48679_|_62871_|_62873_|_62874_|_62876_|_62877_|_62878_|_62879_|_74742_|_74743_|_74748_|_77939_|_79061_|_79835_|_80197_|_82007_|fdct_zigzag.dct_mod.dct_block_3.dct_unit_2.macu.mult_res[18]$_DFFE_PP_|fdct_zigzag.dct_mod.ddin[4]$_DFFE_PN0P_|place10512|place10515|place10522|rebuffer11911|rebuffer11912
